YEAR,FRS,BFISH
1949,116.9925051,NA
1950,109.8401285,NA
1951,124.4276796,NA
1952,149.4802435,NA
1953,152.6939557,NA
1954,148.9144463,NA
1955,151.3726706,NA
1956,105.6103521,NA
1957,109.0935942,NA
1958,79.52711782,NA
1959,90.6487298,NA
1960,107.0007068,NA
1961,122.3348007,NA
1962,141.156556,NA
1963,117.2953236,NA
1964,117.6063836,NA
1965,149.8219898,NA
1966,107.5228523,NA
1967,113.8755866,NA
1968,109.732067,NA
1969,118.1497801,NA
1970,96.9087999,NA
1971,103.33531,NA
1972,139.4967775,NA
1973,106.9231275,NA
1974,125.3337072,NA
1975,115.4976585,NA
1976,NA,NA
1977,85.47518933,NA
1978,106.2041822,NA
1979,107.5975167,NA
1980,93.34555104,NA
1981,86.72896435,NA
1982,89.94370885,NA
1983,72.84105256,NA
1984,62.01404229,NA
1985,82.17863325,NA
1986,79.45964342,NA
1987,89.68861218,NA
1988,99.26163157,NA
1989,99.45474977,NA
1990,87.72050133,NA
1991,84.44190497,NA
1992,77.55173377,NA
1993,76.54953073,NA
1994,77.99903201,NA
1995,78.9886054,NA
1996,70.4832758,NA
1997,77.73814935,NA
1998,71.17494799,NA
1999,74.09955722,NA
2000,86.45686416,NA
2001,76.04219272,NA
2002,68.8122023,NA
2003,69.52114447,NA
2004,62.07937298,NA
2005,70.09611051,NA
2006,71.69264021,NA
2007,72.08662033,NA
2008,79.02764693,NA
2009,69.14370739,NA
2010,64.71132447,NA
2011,72.06893153,NA
2012,69.34761833,NA
2013,75.72035728,NA
2014,79.40411781,NA
2015,94.99929209,NA
2016,84.60786778,NA
2017,88.87362322,7.17291099
2018,89.82186909,8.496407009
2019,86.56390098,4.99959605
2020,81.60032707,5.376713539
2021,78.57018492,5.55593774
2022,82.45382511,5.428024004
2023,90.64355573,4.803983742
