Year,Catch
1949,660904.4539
1950,588736.8388
1951,628822.4548
1952,580165.3676
1953,502384.1391
1954,522694.7117
1955,428760.6643
1956,535561.7411
1957,655285.7876
1958,429843.4984
1959,400879.7272
1960,328717.8856
1961,258892.5597
1962,344727.9818
1963,430542.6832
1964,413330.4798
1965,447257.2933
1966,362234.9903
1967,503876.4731
1968,404739.2478
1969,377169.699
1970,326001.8244
1971,278630.3364
1972,494575.6078
1973,372355.2759
1974,512436.2481
1975,443820.9602
1976,490099.421
1977,516056.6698
1978,609800.9819
1979,547153.1131
1980,503908.0726
1981,644905.8354
1982,654350.7691
1983,824658.4455
1984,660571.9708
1985,905557.73
1986,926474.9423
1987,1102061.44
1988,1138356.571
1989,1142318.444
1990,879518.4479
1991,619628.9298
1992,696264.5972
1993,503064.0871
1994,623390.5824
1995,686373.2116
1996,539998.0894
1997,594323.4095
1998,580278.5732
1999,418651.9416
2000,619879.2364
2001,504676.256
2002,428990.5554
2003,491885.4009
2004,426208.4939
2005,502697.0885
2006,390347.2661
2007,453994.2722
2008,405496.714
2009,529642.3896
2010,447455.7898
2011,569916.2387
2012,458317.3144
2013,488638.0397
2014,650448.5606
2015,645751.6266
2016,555067.4104
2017,501050.651
2018,501824.3613
2019,371847.3852
2020,357833.5182
2021,339316.124
2022,406260.4105
2023,427804.6823
